Tracker ID: 2, Type: car, Speed: 34 km/h
Tracker ID: 4, Type: car, Speed: 27 km/h
Tracker ID: 7, Type: car, Speed: 76 km/h
Tracker ID: 8, Type: car, Speed: 41 km/h
Tracker ID: 1, Type: truck, Speed: 83 km/h
Tracker ID: 5, Type: bus, Speed: 62 km/h
Tracker ID: 4, Type: car, Speed: 25 km/h
Tracker ID: 6, Type: car, Speed: 34 km/h
Tracker ID: 2, Type: car, Speed: 32 km/h
Tracker ID: 5, Type: truck, Speed: 57 km/h
Tracker ID: 7, Type: car, Speed: 77 km/h
Tracker ID: 9, Type: car, Speed: 41 km/h
Tracker ID: 8, Type: car, Speed: 38 km/h
Tracker ID: 2, Type: car, Speed: 30 km/h
Tracker ID: 4, Type: car, Speed: 30 km/h
Tracker ID: 6, Type: car, Speed: 32 km/h
Tracker ID: 7, Type: car, Speed: 84 km/h
Tracker ID: 9, Type: car, Speed: 38 km/h
Tracker ID: 5, Type: truck, Speed: 60 km/h
Tracker ID: 8, Type: car, Speed: 36 km/h
Tracker ID: 6, Type: car, Speed: 36 km/h
Tracker ID: 4, Type: car, Speed: 28 km/h
Tracker ID: 2, Type: car, Speed: 33 km/h
Tracker ID: 7, Type: car, Speed: 84 km/h
Tracker ID: 9, Type: car, Speed: 36 km/h
Tracker ID: 8, Type: car, Speed: 33 km/h
Tracker ID: 5, Type: bus, Speed: 61 km/h
Tracker ID: 4, Type: car, Speed: 26 km/h
Tracker ID: 6, Type: car, Speed: 33 km/h
Tracker ID: 2, Type: car, Speed: 31 km/h
Tracker ID: 7, Type: car, Speed: 79 km/h
Tracker ID: 5, Type: truck, Speed: 63 km/h
Tracker ID: 9, Type: car, Speed: 33 km/h
Tracker ID: 10, Type: car, Speed: 27 km/h
Tracker ID: 8, Type: car, Speed: 37 km/h
Tracker ID: 7, Type: car, Speed: 80 km/h
Tracker ID: 2, Type: car, Speed: 35 km/h
Tracker ID: 6, Type: car, Speed: 37 km/h
Tracker ID: 4, Type: car, Speed: 30 km/h
Tracker ID: 5, Type: bus, Speed: 65 km/h
Tracker ID: 8, Type: car, Speed: 35 km/h
Tracker ID: 10, Type: car, Speed: 25 km/h
Tracker ID: 9, Type: car, Speed: 26 km/h
Tracker ID: 2, Type: car, Speed: 33 km/h
Tracker ID: 4, Type: car, Speed: 28 km/h
Tracker ID: 6, Type: car, Speed: 35 km/h
Tracker ID: 7, Type: car, Speed: 85 km/h
Tracker ID: 5, Type: truck, Speed: 66 km/h
Tracker ID: 8, Type: car, Speed: 33 km/h
Tracker ID: 10, Type: car, Speed: 30 km/h
Tracker ID: 7, Type: car, Speed: 85 km/h
Tracker ID: 2, Type: car, Speed: 36 km/h
Tracker ID: 4, Type: car, Speed: 31 km/h
Tracker ID: 6, Type: car, Speed: 37 km/h
Tracker ID: 5, Type: bus, Speed: 67 km/h
Tracker ID: 8, Type: car, Speed: 36 km/h
Tracker ID: 9, Type: car, Speed: 30 km/h
Tracker ID: 10, Type: car, Speed: 39 km/h
Tracker ID: 2, Type: car, Speed: 34 km/h
Tracker ID: 4, Type: car, Speed: 30 km/h
Tracker ID: 6, Type: car, Speed: 36 km/h
Tracker ID: 8, Type: car, Speed: 34 km/h
Tracker ID: 5, Type: bus, Speed: 68 km/h
Tracker ID: 7, Type: car, Speed: 85 km/h
Tracker ID: 9, Type: car, Speed: 28 km/h
Tracker ID: 10, Type: car, Speed: 37 km/h
Tracker ID: 2, Type: car, Speed: 36 km/h
Tracker ID: 6, Type: car, Speed: 34 km/h
Tracker ID: 5, Type: bus, Speed: 69 km/h
Tracker ID: 4, Type: car, Speed: 28 km/h
Tracker ID: 7, Type: car, Speed: 90 km/h
Tracker ID: 8, Type: car, Speed: 36 km/h
Tracker ID: 6, Type: car, Speed: 36 km/h
Tracker ID: 2, Type: car, Speed: 35 km/h
Tracker ID: 7, Type: car, Speed: 90 km/h
Tracker ID: 4, Type: car, Speed: 31 km/h
Tracker ID: 5, Type: bus, Speed: 74 km/h
Tracker ID: 8, Type: car, Speed: 35 km/h
Tracker ID: 2, Type: car, Speed: 33 km/h
Tracker ID: 7, Type: car, Speed: 86 km/h
Tracker ID: 6, Type: car, Speed: 35 km/h
Tracker ID: 4, Type: car, Speed: 33 km/h
Tracker ID: 5, Type: bus, Speed: 71 km/h
Tracker ID: 8, Type: car, Speed: 33 km/h
Tracker ID: 2, Type: car, Speed: 36 km/h
Tracker ID: 7, Type: car, Speed: 90 km/h
Tracker ID: 6, Type: car, Speed: 37 km/h
Tracker ID: 4, Type: car, Speed: 32 km/h
Tracker ID: 5, Type: truck, Speed: 72 km/h
Tracker ID: 2, Type: car, Speed: 36 km/h
Tracker ID: 7, Type: car, Speed: 93 km/h
Tracker ID: 5, Type: truck, Speed: 75 km/h
Tracker ID: 6, Type: car, Speed: 36 km/h
Tracker ID: 4, Type: car, Speed: 36 km/h
Tracker ID: 8, Type: car, Speed: 32 km/h
Tracker ID: 2, Type: car, Speed: 39 km/h
Tracker ID: 7, Type: car, Speed: 97 km/h
Tracker ID: 6, Type: car, Speed: 39 km/h
Tracker ID: 8, Type: car, Speed: 36 km/h
Tracker ID: 4, Type: car, Speed: 36 km/h
Tracker ID: 2, Type: car, Speed: 39 km/h
Tracker ID: 7, Type: car, Speed: 104 km/h
Tracker ID: 6, Type: car, Speed: 39 km/h
Tracker ID: 4, Type: car, Speed: 36 km/h
Tracker ID: 5, Type: bus, Speed: 79 km/h
Tracker ID: 8, Type: car, Speed: 36 km/h
Tracker ID: 2, Type: car, Speed: 39 km/h
Tracker ID: 5, Type: truck, Speed: 79 km/h
Tracker ID: 7, Type: car, Speed: 97 km/h
Tracker ID: 6, Type: car, Speed: 39 km/h
Tracker ID: 8, Type: car, Speed: 36 km/h
Tracker ID: 2, Type: car, Speed: 36 km/h
Tracker ID: 6, Type: car, Speed: 36 km/h
Tracker ID: 7, Type: car, Speed: 97 km/h
Tracker ID: 5, Type: truck, Speed: 82 km/h
Tracker ID: 8, Type: car, Speed: 28 km/h
Tracker ID: 4, Type: car, Speed: 43 km/h
Tracker ID: 2, Type: car, Speed: 39 km/h
Tracker ID: 6, Type: car, Speed: 39 km/h
Tracker ID: 7, Type: car, Speed: 97 km/h
Tracker ID: 5, Type: truck, Speed: 82 km/h
Tracker ID: 4, Type: car, Speed: 39 km/h
Tracker ID: 8, Type: car, Speed: 32 km/h
Tracker ID: 6, Type: car, Speed: 39 km/h
Tracker ID: 2, Type: car, Speed: 39 km/h
Tracker ID: 7, Type: car, Speed: 100 km/h
Tracker ID: 5, Type: truck, Speed: 86 km/h
Tracker ID: 4, Type: car, Speed: 39 km/h
Tracker ID: 8, Type: car, Speed: 32 km/h
Tracker ID: 2, Type: car, Speed: 39 km/h
Tracker ID: 7, Type: car, Speed: 104 km/h
Tracker ID: 6, Type: car, Speed: 36 km/h
Tracker ID: 5, Type: truck, Speed: 86 km/h
Tracker ID: 4, Type: car, Speed: 39 km/h
Tracker ID: 8, Type: car, Speed: 32 km/h
Tracker ID: 2, Type: car, Speed: 43 km/h
Tracker ID: 7, Type: car, Speed: 100 km/h
