tracker_id,vehicle_type,status,compliance,reaction_time,date
1,car,moving,0,,2025-05-28 10:17:44
2,car,stationary,1,1.8,2025-05-28 10:17:55
3,car,stationary,1,1.56,2025-05-28 10:18:15
4,car,stationary,1,1.56,2025-05-28 10:18:31
5,car,stationary,1,1.46,2025-05-28 10:18:44
6,bus,stationary,1,1.43,2025-05-28 10:19:16
7,car,stationary,1,1.68,2025-05-28 10:20:11
8,car,moving,0,,2025-05-28 10:22:42
9,car,stationary,1,1.84,2025-05-28 10:22:53
10,car,stationary,1,1.49,2025-05-28 10:23:16
11,car,stationary,1,1.61,2025-05-28 10:23:32
12,car,stationary,1,1.56,2025-05-28 10:23:45
13,truck,stationary,1,1.49,2025-05-28 10:24:17
14,car,stationary,1,2.15,2025-05-28 10:25:19
15,car,stationary,1,2.14,2025-05-28 10:26:44
16,car,moving,0,,2025-05-28 10:27:10
17,car,stationary,1,1.71,2025-05-28 10:27:19
18,car,stationary,1,1.64,2025-05-28 10:27:41
19,car,stationary,1,1.6,2025-05-28 10:27:58
20,car,stationary,1,1.58,2025-05-28 10:28:12
21,truck,stationary,1,1.68,2025-05-28 10:28:45
22,car,moving,0,,2025-05-28 10:30:54
23,car,stationary,1,2.29,2025-05-28 10:31:03
24,car,stationary,1,1.67,2025-05-28 10:31:25
25,car,stationary,1,1.54,2025-05-28 10:31:42
26,car,stationary,1,1.59,2025-05-28 10:31:55
27,truck,stationary,1,1.82,2025-05-28 10:32:28
28,car,stationary,1,1.77,2025-05-28 10:33:27
29,car,moving,0,,2025-05-28 10:35:01
32,car,moving,0,,2025-05-28 10:35:02
30,car,stationary,1,1.7,2025-05-28 10:35:09
31,car,stationary,1,1.55,2025-05-28 10:35:29
34,car,stationary,1,1.83,2025-05-28 10:35:46
35,car,stationary,1,1.53,2025-05-28 10:35:59
36,truck,stationary,1,1.53,2025-05-28 10:36:31
38,bus,moving,0,,2025-05-28 10:36:38
39,bus,moving,0,,2025-05-28 10:36:40
40,bus,moving,0,,2025-05-28 10:36:40
